title;organizer_id;date;start_hour;created_at
Ежедневный созвон;1;2026-02-07;9;2026-02-01 09:00:00
Планирование спринта;2;2026-02-08;10;2026-02-01 10:00:00
Синхронизация бэкенда;3;2026-02-09;11;2026-02-01 11:00:00
Синхронизация фронтенда;4;2026-02-10;12;2026-02-01 12:00:00
Мобильная разработка;5;2026-02-11;13;2026-02-01 13:00:00
Ревью архитектуры;6;2026-02-12;14;2026-02-01 14:00:00
Технический доклад;7;2026-02-13;15;2026-02-01 15:00:00
Ретроспектива;8;2026-02-14;16;2026-02-01 16:00:00
Демонстрация;9;2026-02-15;17;2026-02-01 17:00:00
Обзор продукта;10;2026-02-16;18;2026-02-01 18:00:00
Сессия планирования;1;2026-02-17;9;2026-02-02 09:00:00
Ревью дизайна;2;2026-02-18;10;2026-02-02 10:00:00
Обсуждение API;3;2026-02-19;11;2026-02-02 11:00:00
Обзор базы данных;4;2026-02-20;12;2026-02-02 12:00:00
Проверка безопасности;5;2026-02-21;13;2026-02-02 13:00:00
Планирование релиза;6;2026-02-22;14;2026-02-02 14:00:00
Разбор багов;7;2026-02-23;15;2026-02-02 15:00:00
Синхронизация QA;8;2026-02-24;16;2026-02-02 16:00:00
Ревью UX;9;2026-02-25;17;2026-02-02 17:00:00
Обсуждение дорожной карты;10;2026-02-26;18;2026-02-02 18:00:00
Встреча по дизайну;1;2026-02-07;11;2026-02-07 10:00:00
Подготовка к демо;1;2026-02-07;14;2026-02-07 11:00:00
Обсуждение фич;1;2026-02-08;12;2026-02-07 12:00:00
